Sample,Well Location,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87
J2,B11,703284.5625,670501.6875,642340.3125,625764,624635.4375,638996.3125,665865,700794.9375,739248.0625,777409.5,812444,842456.4375,866203.375,882735.375,891113.5,890449.4375,880374.6875,861683.875,836703.9375,809013,782541.625,760462.8125,744434.4375,734505.875,729628.5625,728370.5625,729454.6875,731983.125,735450.0625,739663.125,744667.25,750598.1875,757496.875,765215.8125,773400.4375,781578.375,789235,795815.125,800724.4375,803443.3125,803706.9375,801679.625,797911.625,793070.375,787606.875,781572.625,774729.875,766795.125,757581.75,746939.6875,734597.1875,720245.75,703979.125,686875.375,671195.875,659797.5,654920.25,657017.6875,664393.5,673896.75,682225.875,687118.3125,687806.9375,684741.875,678889.25,671100,661847.375,651315.1875,639677.4375,627325.625,614911.1875,603181.9375,592726.25,583772.625,576157.625,569452.5625,563117,556522.625,548802.5625,538557.875,523546.5938,500528.2188,465620.5938,415492.3438,349322.4688,270646,187662.8281
J2,B12,742567.1875,704695.3125,673431.4375,657163.375,660141.4375,681560.75,716772.1875,759506.25,803835.5625,845205.1875,880585.875,908176.8125,927109.5625,937269.25,939237.0625,934228,923934.125,910329.5625,895381.1875,880745.875,867566.3125,856430.5625,847503.375,840691.25,835714.6875,832059.75,828919.125,825205.6875,819783.375,811822.5,801229.75,788914.75,776746.25,767139.9375,762340.375,763735.25,771385,783982.5,799220.5625,814412.9375,827150.9375,835776.0625,839589.6875,838818.625,834422.0625,827749.6875,820103.8125,812318.875,804464.8125,795824.5625,785211.625,771604.875,754933.6875,736642.375,719606.75,707200.8125,701848.5625,703854.4375,711227.9375,720588.4375,728593.5,733049.625,733228.875,729493.3125,722689.5,713700.8125,703317.1875,692262,681198.25,670662.3125,660977.4375,652241.6875,644396,637306.375,630811.75,624708.3125,618685.125,612219.125,604403.9375,593668.9375,577463.5,552111.4375,513282.0625,457392,383789.3438,296672.9688,205263.2188
Y2,C7,656037.75,632015.9375,614724.625,608476.4375,614097.8125,629477.1875,651184.75,676032.375,701767.75,727046.375,751036.75,773040.75,792310.5,808117.0625,819903.75,827399.0625,830514.0625,829159.8125,823322.3125,813490.8125,801111.625,788607.3125,778624.1875,772857.375,771191.9375,771803.9375,772200.6875,770648.875,767077.9375,763031.25,760809.5625,762362.5625,768575.5625,779134.5,792841.5625,808117.8125,823450.9375,837753,850461.875,861483.9375,871022.9375,879504.125,887517.625,895671.25,904258.125,912890,920427.625,925320.625,926211.5625,922349.3125,913696.8125,900820.5625,884862.5,867673.0625,851770.3125,839796.4375,833544.4375,833102.0625,836726.25,841610.375,845072.625,845450,842335.0625,836250.3125,828122.875,818871,809181.5625,799446.375,789785,780109.5,770260.5,760180.1875,749999.5625,739944.5,730083.0625,720074.6875,709165.1875,696414.625,680899.4375,661571.9375,636711.5625,603366.1875,557481.75,495265.9063,415592.5625,322260.3438,224413.6719
Y2,C8,620060.625,585953.375,558490.5625,545027.0625,548621.75,567634.75,597293.0625,631989.875,667090.4375,699747.4375,728927.75,754904.875,778542.75,800537.375,820885.5625,838701.6875,852437,860415.8125,861458,855393.9375,843245.625,826985.5625,809047.625,791750.25,776870.875,765380.25,757366.6875,752147.5625,748663.6875,746039.3125,744107.5,743552.5625,745549.75,751100.6875,760474.5625,773096.625,787915.5,803927.375,820517.0625,837447.25,854602.9375,871740.25,888374.6875,903862.8125,917537.6875,928831.75,937263.125,942365.375,943637.1875,940570.4375,932824.625,920535.6875,904654.375,887145.6875,870750.625,858253.125,851480.6875,850604.4375,854126.3125,859568.5625,864439.625,866986.8125,866469.625,863009.1875,857209.4375,849785.125,841322.1875,832186.3125,822518.375,812251.5,801131.8125,788813.125,775010.25,759662.75,743058.1875,725812.125,708701.8125,692319.6875,676600.625,660283.875,640474.5625,612576.5,570992.8125,510892.4375,430798.7813,334853.2188,233090.2813
Y2,C9,557828.875,535671.375,518903.125,511758.5938,515269.3438,527487.625,545075.875,565056.3125,585808.5,607042.6875,629159.1875,652603.5625,677550.875,703912.1875,731436.1875,759574.625,787159.75,812077.4375,831366.1875,841891.75,841410.75,829529.1875,808060.1875,780612.8125,751658.6875,725480.6875,705377.6875,693208.25,689254.75,692441.1875,700873,712617.8125,726404.3125,741915.125,759568.5,779931,803074.8125,828269.75,854059.75,878712.625,900681.0625,918903.625,932855.0625,942485.75,948130.5,950380.25,949893.9375,947190.8125,942459.625,935507.8125,925896,913368.4375,898496.3125,883164.1875,870459.0625,863650.375,864718.4375,873243.5,886406.4375,900120.375,910590.625,915469.625,914181.5,907515.5625,896924.4375,883882.375,869523.8125,854593.3125,839570.8125,824818.3125,810626,797141.1875,784289.8125,771777.375,759183.6875,746110.75,732259.5625,717389.1875,701045.5625,682103.75,658238.5625,625638.75,579487.625,515558.7188,432707.2813,335113.125,232591.2031
sal131,C10,457544.5313,425547.4375,401986.8125,393794.9375,403107.2813,427125.7813,460140.1563,496063.3125,530159.25,559516.0625,582756.875,599507.625,610026.3125,614989.8125,615387.125,612403.8125,607212.9375,600692.0625,593211.375,584736.75,575191.875,564891.4375,554662.0625,545534.375,538158.75,532408.8125,527450.5625,522324.3438,516607.9063,510719.1875,505677.4688,502542.0625,501957.0625,504095.0313,508881.25,516237.7813,526097.25,538239.0625,552137.0625,566984.5625,581904.125,596203.4375,609568.0625,622106.5,634223.625,646396.375,658915.875,671625.25,683771.0625,694018.6875,700706.25,702387.25,698544.875,690167.625,679761.1875,670601.125,665464.75,665525.8125,670021.8125,676842.125,683576.4375,688398.5625,690448.3125,689778.125,687086.25,683408.75,679748.8125,676685.9375,674084.125,671094.9375,666523.75,659377,649302.375,636675.6875,622346.75,607217.125,591900.1875,576546.375,560759.9375,543467.9375,522689.6875,495394.9375,457838.4688,406715,341058.5,264008.6563,183145.7031
sal131,C11,536362.6875,497090.0313,468633.1875,459503.25,472467.7188,504169.0625,547229.9375,593300.375,635502.8125,669651.8125,694270.875,709851.25,717761.875,719262.5625,715019.5625,705296.8125,690608.5625,672318.5,652772,634825,620994.1875,612727.625,610098.875,611949.3125,616371,621259.125,624804,625904.75,624389.75,620950.9375,616752.9375,612897.625,610119.6875,608821.25,609387.25,612433.1875,618747.3125,628917.0625,642954.125,660183,679403.5625,699247.75,718435.5625,735902.5625,750825.3125,762637.625,771123.625,776456.0625,779118.125,779623.5625,778211.4375,774802.1875,769381.875,762615.5625,756166.9375,752276.5,752668.6875,757523,765207.875,773024.5,778411.875,779907.5,777374.1875,771581.6875,763580.375,754205.9375,743940.125,733006.875,721607.125,710059.625,698832.1875,688403.75,679110.625,671003.5,663830.1875,657085.125,650098,642045.0625,631868.625,618037,598230,569146.25,526822.0625,467906.5,391775.9688,302523.5938,209260.25
sal131,C12,512437.4375,484975.7813,464225.3438,455979.9063,462430.9375,481932.5,510306.3438,542593.375,574409.25,602540.5,625009.3125,640894.25,650132.6875,653343.5,651652.1875,646482.625,639282.3125,631255.3125,623102,614889.8125,606153.375,596243.9375,584831.9375,572319.1875,559852.25,548926.9375,540727.625,535594.6875,532922.375,531529.5,530297.875,528768.25,527376.625,527287.5625,529930.625,536471.8125,547430.6875,562534.25,580763.9375,600599.9375,620342.25,638466.9375,653918.875,666276.375,675750.25,683002.25,688846.5625,693882.4375,698185.5,701147.9375,701631.75,698485.25,691320.125,681158.8125,670462.75,662335.4375,659230.1875,661903.5,669201.375,678734.8125,687939.1875,694923.75,698776.8125,699411.5,697211.8125,692706.5,686398.5,678722.375,670044.75,660662.5625,650753.625,640371.5,629483.75,618073.125,606192.875,593979.6875,581591.4375,569115.0625,556383.25,542616.6875,525920.5,502913.7813,469047.9688,420054.7813,354340.375,275155.25,190941.7344
Ala1,D7,407355.7813,395056.4063,385635.8438,381728,384351.8125,392766.8438,405050.3125,418891.5,432253.8438,443787.2188,453121.8125,460959.75,468821.0313,478439.4063,490980.3438,506602.6563,524597.625,543941.5,563931.1875,584463.875,605982.1875,629164.9375,654613.5,682667.3125,713344.1875,746417.375,781536.375,818248.375,855862.8125,893177.1875,928320.375,958960.1875,982990,999350.8125,1008545.438,1012415.75,1013367.938,1013488.938,1014046.875,1015463.313,1017556.625,1019823.625,1021653.688,1022485.188,1021907.375,1019683.25,1015680.625,1009735.688,1001504.75,990319.375,975247,955492.1875,931177.5625,904100.5625,877774.75,856424.25,843244.9375,838951.375,841544,847386.8125,852867.75,855636.1875,854930.8125,851132.875,845074.4375,837478.1875,828722.375,818866.5625,807832.5,795608.4375,782331.75,768220.3125,753453.25,738136.3125,722414.875,706619.875,691257.875,676722.4375,662787,648051.375,629535.3125,602671.4375,562021.8125,502969.625,424196.2188,329843.25,229773.5469
Ala1,D8,393135.1875,375354.4063,361401.8438,354841.4688,356815.9688,366121.7813,380291.5625,396893.4375,414264.6563,431612.6563,448668.375,465353.375,481603.2188,497388.4375,512814.7188,528200.3125,544098.125,561316.25,580801.5,603385.1875,629369.5625,658234.3125,688714.1875,719337.75,749128.3125,777998.6875,806579.125,835582.625,865060.375,894027.375,920712.8125,943253.3125,960497.375,972396.1875,979882.625,984396.5625,987389.1875,990067.6875,993339.375,997779.8125,1003558.5,1010340.125,1017359.25,1023684.563,1028543,1031490.438,1032350.688,1030969.625,1026975.25,1019657.188,1008093.188,991576.9375,970308.375,946010.75,921948.625,902064,889437.25,884911.375,886724.125,891363.8125,895115.9375,895411.875,891357.125,883416.5625,872644.125,859999.625,846046.8125,831006.6875,814998.375,798242.9375,781159.5,764298.3125,748175.125,733058.25,718828.1875,705008.25,690942.75,675951.5625,659306.6875,639922.375,615847.1875,583888.25,539867.875,479944.25,402895.5,312315.2188,217088.8594
