Sample,Well Location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
pb7-14,D9,296746.7188,280120,265535.3125,256101.9844,253425.5,257663.8281,268134.25,283848.2813,303603.125,325747.5938,348076.6563,368158.6875,383961.75,394466.4063,399922.6563,401569.2188,401038.875,399719.2813,398346.1563,396982.9688,395340.5,393280.4688,391219.625,390179.125,391340.3125,395338.3438,401739.9063,409053.1875,415433.1563,419578.0313,421341.7813,421689.3125,422241.125,424626.375,430152.4375,439707.25,453752.1563,472270.4063,494652.1875,519775.6875,546302,573123.625,599710.125,626266,653672.625,683283.25,716477.125,754120.4375,795974.1875,840463.0625,884939.375,926612.4375,963818.6875,997009.5625,1028710.563,1062122.75,1098968,1137910.125,1174731.5,1204150.875,1222168.75,1227492,1221523,1207309.375,1188235.5,1167051.25,1145494.625,1124438.25,1104323.25,1085499.25,1068285.25,1052810.625,1038958.063,1026489.313,1015182.5,1004782.625,994723.625,983860.125,970363.9375,951654.375,924094.1875,882636.0625,821101.1875,733970.375,619648.1875,483734.4688,339792.1875
pb7-14,D10,301693.1563,277999.3125,260639.8281,254352,260393.625,276750.4688,299747.7813,325727.5938,351857.75,375984.8125,396220.1563,410905.3125,419072.875,420924.8438,417848.9375,411902.4688,405105.0313,398903.1563,393971.0313,390204.2813,386876.4375,383016.5,378008.0625,372112.125,366600.4063,363293.75,363759.75,368625.625,377413.2813,388876.2188,401660.7188,414877.5938,428347.25,442444.8125,457688.3438,474385.6875,492541.5313,512023.9063,532746.75,554658.875,577553.0625,600873.625,623871.1875,646001.75,667367.125,688844.25,711862,737812.375,767486.5625,800628.875,835914.875,871490.4375,906035,939811.3125,974924,1014269.688,1059565,1109635.5,1160152.125,1205091.875,1239078.875,1259243.625,1265741.75,1260972.75,1248241,1230633.625,1210536.125,1189688.625,1169424.125,1150796.375,1134552.375,1121033.125,1110110.375,1101193.875,1093247.75,1084854.625,1074383,1060220.125,1040932.313,1015003.188,980085,932102.3125,865141.25,773147.625,653546.125,511155.5,359551.6875
fb2,E5,221802.9531,207268.6719,195581.2031,189530.9531,190277.6719,197506.2813,210027.2188,226305.8281,244547.9375,262699.6875,278631.6875,290665.1875,298109.75,301482,302287.3438,302381.6875,303262.875,305469.9688,308405.3125,310749.8438,311311.75,309958.7188,307980.9063,307620.6563,310865.0625,318376.6563,329026.25,340365.6563,349760.2813,355522.8125,357610.3125,357598.9063,358010.625,361407.75,369507.6875,382622.625,399674.5313,418812.6563,438371.4063,457673.4375,477235.375,498380.25,522593.1563,551057.4375,584544.6875,623527.5625,668205.1875,718150.875,771764.5625,825990.8125,876834.75,920900.1875,957236.125,988287.9375,1018889.75,1053534.625,1093423.125,1135316.375,1173087.75,1200928.5,1216075.75,1219486.125,1214480.375,1204682.25,1192624,1179416.625,1165181,1149578.75,1132183.375,1112732.625,1091379.5,1068860.25,1046377.875,1025131,1005754.5,988038.8125,971143.6875,953969.625,935268.75,913211.375,884634.625,844507.375,786327.8125,704061.875,595482.4375,465496.0625,327035.4063
fb2,E6,223705.2188,198640.5938,177275.0938,165692.3125,167124.7656,181026.5313,203805.7969,230602.3906,257049.2969,280363.75,299478.2813,314513.875,326043.9063,334597.6563,340581.4688,344428.8438,346711.7813,348090.75,349099.4063,349979.3438,350675.3438,350954.125,350566.7188,349363.8438,347402.0625,345024.625,342858.2813,341730.0938,342457.5938,345569.625,351145.8125,358831.4688,368089.7813,378481.3125,389894.0938,402547.2188,416821.5,433096.8438,451631.5313,472595.2813,496172.5938,522619.9688,552259.8125,585386.125,622119.125,662283.75,705370.625,750550.875,796691,842427.875,886333.0625,927289.6875,965079.0625,1000821.938,1036741.5,1074990.5,1115943.875,1157066.75,1193358.25,1219367.75,1231604.375,1229915,1217160.125,1197668.25,1175578,1153869.25,1134206.75,1117231,1102825,1090266.625,1078324.625,1065562.125,1050768.625,1033363.25,1013534.438,992066.125,969945,947872.5625,925736,901989.25,873095.5625,833341.8125,775646.1875,693804.0625,585863.3125,457157.7813,320782.2813
fb2,E7,207543.1094,184795.5938,166673.0938,158230,161541.5938,175284.0313,195836.9688,218975.5625,241334.375,261065.4531,277747.9063,291824.9688,303901.7813,314217.3125,322487,328130.125,330683.125,330107.75,326902.7188,321979.2188,316430.625,311326.625,307575.3438,305802.7188,306276.1875,308885.3438,313167.7188,318466.875,324198.3438,330102.625,336337,343304.75,351369.0313,360637.9688,371032,382551.125,395528.75,410697.4688,428948.2813,450950.7813,476821.9688,506013.5,537582.3125,570677.5,604996.25,640897.5,679002.6875,719552.0625,761922.3125,804662.3125,846071.75,885089.6875,921987.375,958531.8125,997278.5,1040136.563,1086795.625,1133937,1175952.75,1206910.25,1222838.125,1223115.75,1210390.875,1189351.375,1165085.75,1141708.875,1121562,1104993.875,1090687.75,1076441.5,1060202.375,1040993.813,1019292,996702.875,975172.75,956139.625,939968,925762,911404.6875,893603.125,867923.25,828876.875,770532.875,688109.5,580588.3125,453316.9063,318659.2188
pb17-10,E8,300170.25,268981.7813,244840.9531,234621.2188,240864.6094,261335.5469,290680.75,322901.2188,353346.9063,379607.1563,401245.8125,418937.7188,433524.3438,445425.4375,454508.375,460320.5313,462496.0625,461127.4375,456908.7813,450974.0938,444547.0625,438486.1563,433126.8438,428367.5,424012.5938,420111.5,417144.125,415882.5938,417140,421413.1875,428771.625,439012,451967.7813,467752.75,486741.8125,509368.125,535882.375,566316.75,600591.5,638593.875,680176.5,725054.5,772689.3125,822382.5625,873445.6875,925396.25,977929.625,1030655,1082560.875,1131512.625,1174169.25,1206694.5,1226218.875,1232458.625,1228388.25,1219277.125,1210363.75,1204554.125,1201498.75,1198554.375,1192714.125,1182218,1167030.5,1148337,1127691.875,1106509.75,1085919.375,1066825.5,1049916.375,1035538.75,1023621.438,1013696.313,1005129.188,997386.9375,990162.125,983248.125,976224,968085.5,956964.125,939903,912728.1875,870130.4375,806405.8125,717229.6875,602361.75,468118.6563,327710.6563
pb17-10,E9,287507.8438,265075.75,244894.5156,231933.4375,229273.0469,237507.9375,255103.125,279229.6875,306538.1563,333693.5625,357768.1563,376667.125,389466.7813,396524.4063,399183.375,399197.5625,398114.9688,396922.0313,395994.7813,395270.6563,394529.25,393702.9375,393130.4688,393594.5313,396032.0313,401017.125,408301.0625,416800.375,425077.2813,432098.9063,437739.5625,442826.875,448790.0938,457207.0938,469464.625,486630.6875,509344.3438,537810.25,571815.3125,610916,654541.5,702000.375,752403.875,804685.375,857856.6875,911290.625,964717.8125,1017752.813,1069137.625,1116203.25,1155062.25,1181741.375,1193923.25,1192427.5,1181458.25,1167145.5,1155034.625,1147855.875,1144885,1143078.75,1139000.375,1130358.5,1116544.625,1098315.5,1077145,1054621,1032077.625,1010501.25,990596.6875,972858.5,957512.625,944437.75,933208.5,923342.625,914504.1875,906441.125,898676.3125,890182.4375,879249,863444.3125,839396,802501.75,747162.625,668367.0625,564638.625,441034.2813,309903.3125
pb17-10,E10,314600.125,288169.9688,269270.2188,263371.4375,271936.2813,292551.5313,320615.3438,351238.1563,380375.2813,405120.6563,423634.25,435165.6563,440155.0938,440041.8125,436794.3125,432212.5,427462.2813,422988.625,418795.4375,414798.0625,411072.3125,407895.1875,405637.375,404593.7188,404805.125,406056.0938,407996.8125,410414.8125,413447.0625,417614.125,423630.5313,432188.9063,443840.1875,459002.7188,478055.0313,501363.625,529259.6875,561934,599350.8125,641186.25,686810.625,735342.4375,785697.1875,836735.6875,887479.3125,937312.25,986115.5625,1034051.625,1081042,1126014.25,1166432.625,1198685.5,1219560.375,1228091.5,1226546,1219609.375,1212101.125,1206665.875,1202943.75,1198578.375,1191072.5,1179225.125,1163434,1145072,1125663.25,1106295,1087521,1069536.5,1052457.625,1036443.25,1021697,1008403,996655.1875,986393.5,977347.625,968980.1875,960504.3125,950971.6875,939217.6875,923435.25,900396.375,864802.0625,809645.8125,728356.3125,618461.4375,485130.1563,342021.4688
ala1,F5,247347.25,228616.2031,214166.7188,208108.9219,212048.4219,224883.9531,243672.6406,264954.25,285734.1875,303958.8438,318451.8438,328712.1563,334757.0313,337052.7188,336534.7813,334498.4063,332315.7188,331076.4063,331289.625,332826.8438,335174.75,337833.5313,340694.1563,344123.6875,348681.25,354720.0313,361960.375,369450.125,375846.2188,379944.4688,381270.8125,380405.4688,378936.8125,379029.4063,382726.875,391237.7188,404542.5313,421484.1563,440367.625,459734,478877.25,497926.6875,517469.25,538103.125,560148.125,583663.625,608571.3125,634694.75,661640.9375,688656.8125,714765.3125,739273.0625,762499,786266.0625,813672.5625,847994.125,891249.625,943229.25,1001518.188,1062308.25,1121372.625,1174701,1218868.125,1251342,1270881.5,1277801.375,1273844.625,1261629.125,1243895.875,1222866.75,1199988,1176069.25,1151643.75,1127249,1103489.5,1080890.25,1059724.25,1039812.688,1020238.438,998803.875,971399.5625,931655.375,871582.125,783868.25,665661.25,522293.7188,368262.625
ala1,F6,240067.625,216496.8906,196414.0625,185114.4688,185207.4688,196173.7188,215293.7031,239134.8906,264674.3438,289612.875,312253.7188,331228.5313,345494.375,354545,358692.8125,359098.0938,357478.25,355539.4063,354465.75,354665.4375,355811.2813,357094.4375,357539.2188,356371.9688,353359.9375,349033.5625,344645,341696.5313,341324.5313,343832.1563,348691.5938,354996.5625,362083.4688,369923.0313,379077.4063,390309.9063,404108.25,420402.4688,438601.8438,457916.2813,477704.5,497684.2188,517894.5938,538564.25,559929,582176.6875,605380.8125,629507.0625,654391.8125,679708.8125,704963.8125,729693.0625,753913,778739,806627.75,840789.3125,883772,936039.5,995418.1875,1057785.25,1118395.25,1173022.5,1218419.125,1252387.5,1273854.25,1283048.5,1281581.75,1272093.75,1257534.75,1240370.375,1222092.25,1203199.75,1183558,1162902.5,1141233.875,1118925.75,1096567.375,1074555.25,1052523.375,1028649.563,998983.3125,957114.75,894876.875,804699.5,683526.5,536655,378793.5625
