"","slope","Tm","min"
"769829916",0.0369739446812192,1.71806492656481e-05,0.279357172663232
"769830255",0.0586084109223345,6.67728971557077e-08,0.0276055620248137
"769831548",0.0339119673233732,3.31264727428382e-07,0.0552951621443326
"769831834",0.0335559302784295,4.56790645111068e-06,0.334103868586378
"769831911",0.0167222582055836,1.15343900233964e-07,0.0485236556207742
"769832396",0.0306479962841749,2.72167844064119e-07,0.0814546204884917
"769834659",0.0373963886464406,1.20777232347053e-07,0.0668315226713668
"769835004",0.0608776490581914,1.44447563815258e-07,0.0218660345525112
"769835754",0.0382019607132522,4.22464921934027e-08,0.0248744795317271
"769835901",0.0372491027966793,7.52477072300805e-07,0.0705297587183586
"769836105",0.0421833460608625,1.63409251145958e-07,0.00499403532092029
"769836353",0.0329926757655291,1.90149249403525e-07,0.0731263904877561
"769836682",0.0436492489393412,3.81960185526926e-06,0.148252977359192
"769836882",0.0566278656900801,4.50633898412546e-09,0.00227654916240348
"769837003",0.0233199145264151,1.00459388070295e-07,0.00421536890665336
"769837074",0.0705375228094775,1.36098662261633e-05,0.54009559023782
"769837096",0.0515020308652608,1.61007201435552e-07,0.0468764553244952
"769837255",0.0273946438339784,2.35198249516197e-06,0.154468590255425
"769837339",0.0178039306197391,3.55550931653824e-07,0.0504678707395824
"769838199",0.0683332076176247,1.92624475476786e-07,0.0241143974488041
"769838260",0.0492398250894122,1.55306457292774e-06,0.0748326067783311
"769839252",0.046805605495671,4.87718371420764e-07,0.0878364092203432
"769839576",0.0434494214780855,2.71440100013361e-07,0.0800122985145406
"769840091",0.0698680662797529,1.11681846450052e-07,0.00450658393776636
"769840120",0.0297722825409067,1.59967081622959e-07,0.0335604748387968
"769840245",0.00693972595479881,5.97474921466085e-08,0.00148762207429428
"769840844",0.0318325868455215,9.46768506257301e-08,0.0132608625027455
"769841563",0.032510597120978,2.26305792130742e-06,0.124990700194887
"769842333",0.0280970820813296,1.04582776048729e-06,0.297096825985543
"769842700",0.0546862046705786,5.65613672676127e-07,0.0765534744486834
"769843321",0.0345569256543872,1.35147033690724e-06,0.354744412522768
"769843800",0.0284831444411222,1.7558345355842e-06,0.349111728103805
"769843902",0.0472796478636269,2.58452142428006e-07,0.0467587573030754
"769843996",0.0519641088560839,3.15874793992784e-05,0.490054861202665
"769844206",0.0390516736921606,5.48144163677976e-05,0.632310083700169
"769844214",0.0672485430046061,2.04202616724644e-07,0.0147154688448207
"769844760",0.0459951344648383,1.81701123491263e-07,0.0252236633545574
"769845031",0.769419672144215,0.820155152012849,0.968046612596502
"769845209",0.0627939607717558,4.83962798936047e-06,0.0784597034130501
"769845281",0.0346173283797839,2.36787399781146e-06,0.479418823311463
"769845949",0.0399662677053242,6.05033350747848e-07,0.150668624430658
"769846835",0.0458082369330899,3.73394102254397e-07,0.117864119532412
"769846903",0.0306523463248231,2.70473651636579e-07,0.0312420494113085
"769847494",0.072081935021224,8.89067992610992e-06,0.361583157470242
"769847774",0.0279649760716325,1.18244378402086e-06,0.0766968927116851
"769848630",0.0347034622170512,7.71955290356061e-07,0.351152249037007
"769848741",0.00383451520171,4.54940556358126e-07,0.0273824632889372
"769849064",0.013999884036064,2.73503649816359e-06,0.248037790164001
"769849193",0.0441863667569678,7.22391479675077e-07,0.112527227621701
"769849279",0.0202261072732127,5.68065854649033e-07,0.0676024096214798
"769849319",0.00778703436054225,8.7430519323897e-07,0.0621052404233601
"769852202",0.0280772515978699,2.01315143430949e-07,0.138477508484069
"769852227",0.0411499529927659,1.09280279257822e-07,0.0514145739542664
"769853175",0.0367334503802993,4.63895458907907e-06,0.328273773009824
"769853339",0.0555400321627255,5.23843926893733e-07,0.0580492514035263
"769853381",0.0395464499549366,2.21489854296436e-07,0.0223984472840495
"769853980",0.0336333925518183,1.08554596856452e-07,0.0292440374845081
"769854116",0.0187853112402721,2.88390043218944e-06,0.427293837766772
"769854788",0.0446458225454758,2.16265440930392e-07,0.0375968592915943
"769855011",0.0395247927692652,3.338009728331e-07,0.0755284377475375
"769855164",0.0477157641687302,3.12933030613058e-05,0.670974947723767
